id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
20396,Kaspa,KAS,kaspa,134,2022-06-01T00:03:58.000Z,"mineable, dag, pow, store-of-value, polychain-capital-portfolio, layer-1",28704026601.0,24667990394.209454,24667990394.209454,,21,2024-09-11T22:16:00.000Z,0.1671348976002459,55838658.09820771,0.10106365,1.32938514,6.88503426,4122882048.5400467
7083,Uniswap,UNI,uniswap,1088,2020-09-17T00:00:00.000Z,"decentralized-exchange-dex-token, defi, dao, yield-farming, amm, coinbase-ventures-portfolio, three-arrows-capital-portfolio, governance, blockchain-capital-portfolio, defiance-capital-portfolio, alameda-research-portfolio, a16z-portfolio, pantera-capital-portfolio, parafi-capital, paradigm-portfolio, arbitrum-ecosytem, injective-ecosystem, optimism-ecosystem, cmc-crypto-awards-2024",,600210149.71,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}",22,2024-09-11T22:16:00.000Z,6.832132656514683,139938658.33588406,-0.66215006,1.74398688,4.80575294,4100715364.6052585
8916,Internet Computer,ICP,internet-computer,291,2021-03-23T00:00:00.000Z,"platform, ai-big-data, smart-contracts, polychain-capital-portfolio, electric-capital-portfolio, fenbushi-capital-portfolio, hashkey-capital-portfolio, a16z-portfolio, multicoin-capital-portfolio, exnetwork-capital-portfolio, internet-computer-ecosystem, layer-1, sec-security-token, alleged-sec-securities",,469919820.54512554,522400636.81764895,,23,2024-09-11T22:16:00.000Z,8.682656673636332,184172524.51758263,-0.44591022,-2.85846657,13.21211429,4080152465.930122
3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,371,2019-03-02T00:00:00.000Z,"cosmos-ecosystem, ai-big-data, collectibles-nfts, iot, binance-launchpad, web3, injective-ecosystem, generative-ai, dwf-labs-portfolio",2630547141.0,2520000000.0,2630547141.0,,24,2024-09-11T22:16:00.000Z,1.3663266916346926,371288702.7260198,1.39453198,1.72502275,18.08474414,3443143262.919425
328,Monero,XMR,monero,290,2014-05-21T00:00:00.000Z,"mineable, pow, medium-of-exchange, privacy, ringct, boostvc-portfolio, electric-capital-portfolio, galaxy-digital-portfolio",,18446744.07370955,18446744.07370955,,25,2024-09-11T22:16:00.000Z,172.90635193961234,59140287.51369251,-0.22986289,3.40984534,0.22252492,3189559222.948782
24478,Pepe,PEPE,pepe,440,2023-04-17T06:18:08.000Z,memes,420690000000000.0,420689899999994.8,420689899999994.8,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6982508145454ce325ddbe47a25d4ec3d2311933'}",26,2024-09-11T22:16:00.000Z,7.230613285495035e-06,484929033.63388157,-0.17653252,-3.31433665,-2.47078566,3041845980.0135403
21794,Aptos,APT,aptos,417,2022-10-19T01:50:25.000Z,"binance-labs-portfolio, aptos-ecosystem, circle-ventures-portfolio, layer-1, ftx-bankruptcy-estate, move-vm",,487510350.811872,1115461429.7526512,,27,2024-09-11T22:16:00.000Z,6.106442409016073,103298524.62295155,-0.0659476,-3.02974436,-1.26295318,2976953881.0319185
512,Stellar,XLM,stellar,613,2014-08-05T00:00:00.000Z,"medium-of-exchange, enterprise-solutions, decentralized-exchange-dex-token, smart-contracts, hashkey-capital-portfolio",50001806812.0,29565294244.513077,50001786939.54267,,28,2024-09-11T22:16:00.000Z,0.09326869845503685,43522588.0292514,0.25040571,-0.79030204,0.92188816,2757516513.625927
1321,Ethereum Classic,ETC,ethereum-classic,556,2016-07-24T00:00:00.000Z,"mineable, pow, ethash, platform, smart-contracts, dcg-portfolio",210700000.0,148701389.79672313,210700000.0,,29,2024-09-11T22:16:00.000Z,18.462738474757593,86575770.7083688,-0.08164009,-0.66368658,1.80877001,2745434870.649886
28321,POL (ex-MATIC),POL,polygon-ecosystem-token,89,2023-10-30T14:43:57.000Z,,,6929235432.315416,10255189820.351967,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x455e53cbb86018ac2b8092fdcd39d8444affc3f6'}",30,2024-09-11T22:16:00.000Z,0.37541528182615735,15985852.09619854,0.01518659,-3.27844967,-2.60335096,2601340872.6624875
26081,First Digital USD,FDUSD,first-digital-usd,350,2023-07-26T04:26:40.000Z,"stablecoin, ethereum-ecosystem, binance-smart-chain, usd-stablecoin, sui-ecosystem, fiat-stablecoin",,2530762448.15,2530762448.15,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409'}",31,2024-09-11T22:15:00.000Z,0.9992034654674945,4898595084.342802,0.0286824,0.01039176,0.03884167,2528746608.4664803
20947,Sui,SUI,sui,313,2022-07-12T08:03:11.000Z,"binance-launchpool, coinbase-ventures-portfolio, binance-labs-portfolio, electric-capital-portfolio, a16z-portfolio, sui-ecosystem, layer-1, move-vm",10000000000.0,2679963749.6338882,10000000000.0,,32,2024-09-11T22:16:00.000Z,0.9295000979609466,289162842.104488,0.87180135,0.64195031,14.33058481,2491026567.816485
3897,OKB,OKB,okb,128,2019-04-30T00:00:00.000Z,"marketplace, centralized-exchange, discount-token, alameda-research-portfolio, x1-ecosystem",,60000000.0,300000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x75231f58b43240c9718dd58b4967c5114342a86c'}",33,2024-09-11T22:16:00.000Z,39.1015641322837,3369855.35511516,-0.41140573,0.80233728,6.12424434,2346093847.9370217
4847,Stacks,STX,stacks,194,2019-10-28T00:00:00.000Z,"mineable, platform, collectibles-nfts, defi, smart-contracts, metaverse, arrington-xrp-capital-portfolio, blockchain-capital-portfolio, dcg-portfolio, fabric-ventures-portfolio, hashkey-capital-portfolio, huobi-capital-portfolio, usv-portfolio, web3, injective-ecosystem, bitcoin-ecosystem",1818000000.0,1485751318.57132,1818000000.0,,34,2024-09-11T22:16:00.000Z,1.5720273696639493,91692305.35204552,0.36293251,-2.75064589,6.37901213,2335641737.308417
7278,Aave,AAVE,aave,932,2020-10-02T00:00:00.000Z,"defi, dao, yield-farming, three-arrows-capital-portfolio, governance, lending-borowing, blockchain-capital-portfolio, defiance-capital-portfolio, framework-ventures-portfolio, alameda-research-portfolio, pantera-capital-portfolio, parafi-capital, polygon-ecosystem, fantom-ecosystem, optimism-ecosystem, standard-crypto-portfolio",,14929955.64753896,16000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9'}",35,2024-09-11T22:16:00.000Z,148.7481225861369,436452413.83096045,-0.41519272,-0.8610808,8.73050614,2220802872.865712
2280,Filecoin,FIL,filecoin,516,2017-12-13T00:00:00.000Z,"mineable, distributed-computing, filesharing, storage, polychain-capital-portfolio, blockchain-capital-portfolio, boostvc-portfolio, dcg-portfolio, hashkey-capital-portfolio, a16z-portfolio, winklevoss-capital-portfolio, pantera-capital-portfolio, web3, filecoin-ecosystem, sec-security-token, alleged-sec-securities, depin",,585312548.0,1959975273.0,,36,2024-09-11T22:17:00.000Z,3.600510180925963,102791684.50717227,-0.12577753,-1.46404296,4.92356844,2107423788.0977163
22974,Bittensor,TAO,bittensor,87,2023-03-06T05:20:00.000Z,"ai-big-data, distributed-computing, oracles, dao, polkadot-ecosystem, polychain-capital-portfolio, dcg-portfolio, open-source, generative-ai, depin",21000000.0,7371079.0,7371079.0,,37,2024-09-11T22:16:00.000Z,283.08760655162257,79810952.39329971,0.60507821,-2.0437134,9.93114741,2086661111.8129275
